time,open,high,low,close,vwap,volume,count,sma,ema,rsi,macd,macdsignal,macdhist,upperband,middleband,lowerband
1702396680,41313.3,41328.4,41290.0,41328.4,41293.1,3.05234734,19,41346.995,41325.40343738849,54.21987139597363,,,,41423.048835535985,41346.995,41270.94116446402
1702396740,41328.4,41329.0,41328.3,41328.3,41328.3,0.19358091,12,41346.865000000005,41325.679300494354,54.20092545998658,,,,41423.03723312216,41346.865000000005,41270.69276687785
1702396800,41328.4,41332.7,41328.3,41332.7,41331.6,0.65477572,18,41345.305,41326.34793854251,54.946892592681664,,,,41421.295564551154,41345.305,41269.31443544885
1702396860,41332.7,41334.2,41320.1,41320.2,41323.9,0.70077848,16,41341.32,41325.76242058608,52.338767017185326,,,,41413.7145743991,41341.31999999999,41268.925425600886
1702396920,41310.9,41331.2,41302.4,41331.0,41319.5,2.28124762,12,41337.30500000001,41326.26123767312,54.35471672526033,1.994437285764434,5.679303854159015,-3.6848665683945807,41402.25385605471,41337.30499999999,41272.356143945275
1702396980,41331.1,41385.6,41331.1,41385.6,41352.1,1.0597537,25,41338.090000000004,41331.91254837092,62.89864768786091,6.217754933051765,5.786994069937565,0.4307608631141999,41404.94718813263,41338.08999999999,41271.23281186735
1702397040,41385.6,41413.2,41385.6,41413.2,41412.8,1.79095422,26,41340.955,41339.65421043083,66.32957519810962,11.657473831262905,6.961090022202633,4.696383809060272,41415.12988729443,41340.95499999999,41266.78011270554
1702397100,41413.1,41413.2,41324.0,41324.0,41372.6,3.76115593,28,41339.06,41338.16333324694,50.179105040450224,8.670843636631616,7.303040745088429,1.367802891543187,41412.93357854361,41339.05999999998,41265.186421456354
1702397160,41324.0,41324.0,41294.1,41294.2,41295.1,0.00379774,5,41333.19,41333.97634912819,46.13737819954943,3.8548701948311646,6.613406635036976,-2.7585364402058117,41401.52411743209,41333.18999999999,41264.855882567885
1702397220,41294.1,41294.1,41260.9,41260.9,41275.4,2.35122229,29,41327.805,41327.016696830266,42.0604709508792,-2.6186687717636232,4.766991553676856,-7.38566032544048,41400.93470603731,41327.804999999986,41254.67529396266
1702397280,41260.8,41260.9,41220.4,41220.5,41258.4,1.71530985,22,41320.725,41316.87224951309,37.70712523218525,-10.883479429103318,1.6368973571208212,-12.520376786224139,41405.66669473289,41320.72499999999,41235.78330526709
1702397340,41219.9,41240.9,41164.0,41166.0,41193.4,3.45748088,44,41309.92,41302.503463845176,32.778380365966825,-21.58230852612178,-3.0069438195276996,-18.57536470659408,41413.75971496603,41309.91999999999,41206.08028503395
1702397400,41171.3,41171.3,41153.4,41153.4,41159.7,8.25866753,30,41299.795,41288.30313395516,31.745260907526674,-30.72375800638838,-8.550306656899835,-22.173451349488545,41421.65349951526,41299.79499999999,41177.93650048472
1702397460,41153.3,41161.0,41145.7,41161.0,41154.0,7.56992696,122,41291.67,41276.17902595943,33.114634306946925,-36.92946619740542,-14.226138565000952,-22.703327632404466,41427.043026867796,41291.66999999999,41156.29697313219
1702397520,41165.6,41165.6,41097.4,41110.4,41127.1,39.04402626,104,41282.205,41260.39054729663,28.95014771347689,-45.407106903221575,-20.462332232645075,-24.9447746705765,41438.81399687752,41282.204999999994,41125.59600312247
1702397580,41113.8,41122.2,41072.2,41114.6,41101.2,23.24859606,78,41273.475,41246.50573326838,29.73997702938178,-51.19663045446214,-26.609191877008488,-24.58743857745365,41446.18871544833,41273.47499999999,41100.761284551656
1702397640,41114.6,41165.6,41111.7,41165.6,41130.6,5.92113287,22,41267.6,41238.80042533806,38.65737224934297,-51.080768502251885,-31.50350720205717,-19.577261300194717,41446.48778606703,41267.59999999999,41088.71221393295
1702397700,41165.6,41165.6,41165.5,41165.5,41165.5,0.60027764,10,41261.115,41231.81943244872,38.647014624268465,-50.41585365647916,-35.285976492941565,-15.129877163537593,41444.867956714326,41261.115,41077.36204328567
1702397760,41165.6,41165.6,41152.0,41165.6,41154.7,8.2625771,22,41252.905000000006,41225.512819834556,38.66471257350914,-49.31239212595392,-38.09125961954403,-11.221132506409887,41438.31435764893,41252.90499999999,41067.49564235105
1702397820,41165.6,41218.9,41165.6,41218.9,41200.2,1.2793635,27,41248.0,41224.88302746936,47.37773229958605,-43.634040304306836,-39.19981575649659,-4.4342245478102456,41431.5484350347,41247.99999999999,41064.45156496528
1702397880,41220.2,41226.8,41151.9,41151.9,41190.2,7.41095365,27,41239.175,41217.93226294847,39.736252399315475,-44.032664486156136,-40.1663855024285,-3.8662789837276392,41423.38334807843,41239.174999999996,41054.96665192156
1702397940,41152.0,41178.5,41151.8,41156.2,41156.5,9.24036485,21,41230.56999999999,41212.05299981052,40.400642449598976,-43.50016019004397,-40.83314043995159,-2.667019750092379,41413.39463838887,41230.56999999999,41047.745361611116
1702398000,41153.8,41163.0,41138.6,41146.0,41141.4,1.05381547,17,41221.235,41205.7622379238,39.29399430087777,-43.40090286186023,-41.34669292433332,-2.054209937526913,41401.29218286641,41221.23499999999,41041.177817133575
1702398060,41141.5,41234.2,41141.5,41232.7,41150.0,1.16307923,23,41216.86,41208.32773907392,51.46395743007371,-35.91230064904812,-40.25981446927628,4.3475138202281585,41391.24893772878,41216.85999999999,41042.47106227121
1702398120,41232.8,41264.7,41232.8,41261.1,41256.4,2.5095418,17,41213.365,41213.35366868592,54.669710196039134,-27.37037811024493,-37.68192719747001,10.311549087225082,41381.14011467233,41213.36499999999,41045.58988532765
